Date,Open,High,Low,,Close,Volume
24-09-2018,278,284.899994,266,,265.673676,650309
25-09-2018,270,283.5,265.399994,,276.145233,505789
26-09-2018,283.799988,301.700012,274.25,,288.878296,814642
27-09-2018,302.600006,305,288.5,,293.745392,940815
28-09-2018,300.399994,303,273.450012,,290.648163,1296334
01-10-2018,289,289.200012,273.700012,,279.389954,610018
03-10-2018,284.5,286.5,276.5,,274.768677,362164
04-10-2018,274.700012,276.850006,266.5,,263.903778,329317
05-10-2018,269.899994,272.100006,260.100006,,256.824432,280766
08-10-2018,257,267.899994,212.5,,253.432205,1004097
09-10-2018,261,263.5,244.699997,,246.500305,240676
10-10-2018,252.199997,259.450012,249,,248.171814,349876
11-10-2018,243.699997,253.899994,240.850006,,244.386322,187511
12-10-2018,254.399994,255.5,248.649994,,245.910355,208638
15-10-2018,252.399994,253,248.199997,,246.746124,202982
16-10-2018,252,252.850006,248.5,,245.664551,360191
17-10-2018,252.649994,256,245.5,,246.795273,328082
19-10-2018,250.5,254.5,248,,246.500305,322111
22-10-2018,253.800003,254.800003,230.600006,,230.915833,222643
23-10-2018,232.850006,242,225.5,,233.914719,391999
24-10-2018,241.949997,246.350006,235.600006,,239.814209,153254
25-10-2018,237,243.399994,237,,237.306946,100779
26-10-2018,242.800003,248.300003,238.300003,,238.437668,172595
29-10-2018,247.100006,252,240.699997,,239.568405,372523
30-10-2018,244.600006,247.800003,240.649994,,237.503586,107402
31-10-2018,241.550003,251.800003,239.300003,,244.337158,293081
01-11-2018,249.050003,257.450012,248.949997,,248.220993,802801
02-11-2018,258.700012,280,252.25,,270.589905,1908834
05-11-2018,277.450012,283.899994,263.549988,,263.166351,360240
06-11-2018,269.149994,279,265,,272.310577,343765
07-11-2018,278,281.299988,277,,274.424561,186126
09-11-2018,278.100006,286.5,273.100006,,270.393219,586051
12-11-2018,276,277.399994,267.100006,,264.198792,164554
13-11-2018,268.399994,274.549988,266,,263.756317,142214
14-11-2018,270.299988,273,263.450012,,261.740662,101636
15-11-2018,266.950012,266.950012,261.200012,,260.609894,404656
16-11-2018,260,261.25,251,,252.104813,626956
19-11-2018,250.5,257.950012,245.600006,,251.859009,360540
20-11-2018,257,265.5,255.800003,,257.414337,369147
21-11-2018,261.799988,262.5,258.100006,,257.365204,145492
22-11-2018,263,268,260,,257.168549,236964
26-11-2018,260.200012,263.299988,253.199997,,255.005402,127224
27-11-2018,258,259,254.5,,250.974075,104032
28-11-2018,256.799988,256.799988,245.75,,245.517044,245037
29-11-2018,250.399994,251.649994,245.5,,244.976257,112574
30-11-2018,249.149994,258.649994,247,,253.333878,203692
03-12-2018,259.899994,263.200012,252.25,,249.54837,241881
04-12-2018,255.850006,255.850006,248.050003,,244.681305,91101
05-12-2018,247.899994,250.800003,242.300003,,238.978455,127380
06-12-2018,238.399994,244.949997,226.949997,,235.930389,354127
07-12-2018,240,240.699997,229,,227.179489,314959
10-12-2018,225.050003,228,222.050003,,219.657623,141993
11-12-2018,220,233.800003,218,,226.442047,165729
12-12-2018,230.75,238.699997,230.75,,232.194046,165813
13-12-2018,239,241.449997,237,,234.799652,144033
14-12-2018,237.800003,238.449997,230.149994,,228.211899,144921
17-12-2018,233.600006,237.949997,231.800003,,229.047638,101666
18-12-2018,233.600006,233.600006,228,,226.0979,168885
19-12-2018,230,233.699997,228,,226.0979,219855
20-12-2018,230.550003,232.199997,224.699997,,221.525803,319132
21-12-2018,225.850006,225.850006,218.600006,,216.265427,459650
24-12-2018,219.300003,220.850006,211.5,,209.628494,348996
26-12-2018,213.149994,213.149994,205.050003,,204.564774,239585
27-12-2018,209.25,210.850006,207.050003,,206.334625,261736
28-12-2018,211.399994,218,210.800003,,213.217361,320189
31-12-2018,224.399994,225,218.550003,,217.396164,166362
01-01-2019,222.550003,224.899994,216.699997,,220.100098,117461
02-01-2019,222.899994,224.25,217.100006,,216.904541,185150
03-01-2019,223.25,223.600006,218,,215.331345,386933
04-01-2019,220.399994,222.850006,218.649994,,217.199493,192618
07-01-2019,221.100006,224.850006,219.850006,,217.54364,64405
08-01-2019,221.25,225.5,219,,219.608475,99499
09-01-2019,223.199997,223.949997,219,,217.101181,72565
10-01-2019,221.850006,223.5,220,,218.133606,46839
11-01-2019,220.149994,221,214.149994,,211.693329,115098
14-01-2019,216.5,219.899994,210.5,,213.954803,117285
15-01-2019,222.5,222.5,217.300003,,215.773804,64818
16-01-2019,218.100006,222.5,218.100006,,216.757034,86847
17-01-2019,221,230,219,,222.459885,234451
18-01-2019,226.800003,232.5,225,,227.179489,227900
21-01-2019,230,232.350006,226.550003,,227.13031,225416
22-01-2019,231.100006,232,228,,226.93367,176752
23-01-2019,228.050003,231.550003,225.149994,,226.0979,162104
24-01-2019,227.25,228.75,217,,215.675491,228792
25-01-2019,221.800003,221.800003,213,,212.332428,109209
28-01-2019,217.600006,218.850006,206,,210.80838,192275
29-01-2019,215,215,207,,205.695496,116407
30-01-2019,210.25,213.550003,207,,205.498856,216253
31-01-2019,209.949997,223.25,208.25,,215.675491,166520
01-02-2019,221.550003,234,220.699997,,224.328064,206183
04-02-2019,229.350006,231.699997,217,,223.541473,207023
05-02-2019,227.350006,230,221.199997,,218.821869,58532
06-02-2019,220.300003,230.199997,218.149994,,223.934753,138898
07-02-2019,226,235,225.5,,226.884506,446426
08-02-2019,226.100006,234.5,222.649994,,223.098984,80138
11-02-2019,229.100006,229.100006,218.699997,,219.952606,81802
12-02-2019,224.899994,225.850006,220,,217.592819,59146
14-02-2019,211.399994,222.399994,211.399994,,216.51123,79697
15-02-2019,216.5,219.5,212.100006,,213.561478,74862
18-02-2019,217.100006,218.5,212.5,,210.4151,61947
19-02-2019,215.300003,218.399994,213.5,,210.61174,39129
20-02-2019,214,217.699997,213.5,,212.676575,57007
21-02-2019,216,218.899994,215.300003,,213.758148,50042
22-02-2019,215.050003,222.350006,215.050003,,213.26651,70507
25-02-2019,218.300003,229.600006,217.850006,,224.623032,127512
26-02-2019,223.399994,226.5,218.449997,,219.411819,87370
27-02-2019,224.399994,233,222.149994,,223.344803,114494
28-02-2019,226.100006,235.199997,226.100006,,228.654358,174514
01-03-2019,234,235,233.050003,,229.932571,110076
05-03-2019,233.850006,244.850006,233.199997,,237.306946,196455
06-03-2019,242.449997,255.800003,242.449997,,245.418732,693527
07-03-2019,252.149994,260.100006,252.149994,,253.137238,434907
08-03-2019,258,258,251,,248.122681,251633
11-03-2019,253.949997,264,253.899994,,253.383041,196310
12-03-2019,260,266,260,,259.13504,847999
13-03-2019,263.950012,265.149994,255.199997,,252.498108,115957
14-03-2019,258,263.149994,253.800003,,254.85791,130168
15-03-2019,261,265.049988,252,,257.217712,407971
18-03-2019,263.950012,272.950012,263.450012,,267.246826,299261
19-03-2019,273.5,274.899994,264.200012,,266.853516,255837
20-03-2019,271.850006,274.5,265.5,,262.035645,121471
22-03-2019,266,271.200012,260.25,,263.068024,313427
25-03-2019,266.200012,267.450012,257.5,,254.415451,99313
26-03-2019,264.200012,273,262.899994,,267.197662,529148
27-03-2019,273.450012,276.899994,265.700012,,270.884857,234590
28-03-2019,274.950012,279.450012,272.799988,,270.245758,116651
01-04-2019,276,279.899994,269.25,,267.541809,107450
02-04-2019,274.600006,278.100006,270.049988,,266.90271,81263
03-04-2019,271,274.350006,265,,265.968597,97864
04-04-2019,269.899994,273.600006,262.600006,,267.001007,184166
05-04-2019,273,284.850006,265.649994,,275.997742,572893
08-04-2019,281.799988,283.75,270,,267.640137,172717
09-04-2019,271.700012,273.850006,268.75,,265.968597,86101
10-04-2019,269.850006,273.700012,268.75,,264.985382,86779
11-04-2019,271.049988,271.600006,266,,262.527222,79234
12-04-2019,266.399994,270.899994,266.350006,,264.936218,70289
15-04-2019,269.450012,275,269.100006,,267.394348,154894
16-04-2019,273.299988,273.600006,268,,264.05127,86453
18-04-2019,269.100006,272,266,,262.527222,75178
22-04-2019,267,271,259.5,,256.480286,292549
23-04-2019,261,263.100006,255,,251.564026,106559
24-04-2019,256.100006,266.350006,254.75,,257.807648,149901
25-04-2019,263,271,261,,257.807648,109181
26-04-2019,264.299988,269.799988,263,,262.281433,159180
30-04-2019,269,270.25,262.5,,259.675842,64666
02-05-2019,263.600006,268,263,,262.330566,60962
03-05-2019,269,274.399994,266.549988,,268.475891,264806
06-05-2019,275.450012,304,275,,281.503906,2647123
07-05-2019,289,294,281,,278.701691,454958
08-05-2019,285.399994,287.649994,268.950012,,267.246826,574555
09-05-2019,271,281,267.100006,,268.770905,336018
10-05-2019,274.5,283.399994,272.600006,,276.538513,541821
13-05-2019,283,287.399994,278.950012,,275.161987,404514
14-05-2019,279,283.799988,273.549988,,271.671448,257386
15-05-2019,277.600006,289.799988,277.600006,,278.30838,343918
16-05-2019,284.399994,288.350006,280.5,,276.981018,119466
17-05-2019,282.299988,290.100006,281.5,,279.389954,322751
20-05-2019,292.25,299.899994,288,,284.994476,578630
21-05-2019,293,294.5,283.5,,280.373199,195997
22-05-2019,286.049988,287,281.299988,,278.996674,149233
23-05-2019,293,294,282.350006,,279.439117,185910
24-05-2019,286.350006,297.799988,283.399994,,289.369934,437237
27-05-2019,293.5,313.950012,289,,307.166687,1369975
28-05-2019,316,317.5,305.700012,,308.739899,1025331
29-05-2019,315.100006,322,310.25,,308.346619,883844
30-05-2019,314.950012,321.799988,314.149994,,312.574585,545497
31-05-2019,319.5,325.299988,311.600006,,309.870636,809795
03-06-2019,316.899994,323.600006,314.700012,,315.278503,477609
04-06-2019,320.399994,329.5,319.950012,,321.571289,631468
06-06-2019,329.399994,337.950012,322.600006,,321.32547,782789
07-06-2019,324,327.549988,318,,315.180176,469295
10-06-2019,320,320,291,,290.205658,1695017
11-06-2019,293.899994,295,270,,285.43692,1519501
12-06-2019,287,295.049988,280,,277.079315,442124
13-06-2019,278.5,283.899994,275.5,,276.145233,386031
14-06-2019,279.5,283,275,,276.636871,357766
17-06-2019,282.049988,284.799988,266,,266.804382,315190
18-06-2019,272,278.700012,264.25,,272.359711,308539
19-06-2019,279.799988,283.200012,273,,272.953979,266315
20-06-2019,275.049988,280.049988,271.399994,,275.97467,174136
21-06-2019,278.649994,283,275.75,,279.342041,168823
24-06-2019,282,285.700012,280.100006,,278.401154,100090
25-06-2019,280.799988,284.450012,280.399994,,279.490601,76461
26-06-2019,282.899994,286.799988,280.600006,,282.610352,176270
27-06-2019,287,288,283.649994,,284.442596,90797
28-06-2019,290,293.5,286.600006,,287.314758,124874
01-07-2019,295,306,295,,298.110107,645258
02-07-2019,303,310.5,302.100006,,306.132324,347730
03-07-2019,310.799988,313.450012,301.600006,,299.694733,230317
04-07-2019,302.600006,309.25,302.600006,,303.606812,145745
05-07-2019,308.100006,308.75,293.600006,,302.071686,152437
08-07-2019,305.350006,306,289.049988,,301.427948,381611
09-07-2019,303.899994,303.899994,296.5,,296.327393,133029
10-07-2019,297,303,296.700012,,297.16922,149568
11-07-2019,300.049988,302.950012,299.200012,,297.36731,76111
12-07-2019,300,301.950012,297.700012,,297.21875,65106
15-07-2019,300.100006,304.399994,298.649994,,297.26825,78152
16-07-2019,300,308.399994,297.700012,,299.298584,144444
17-07-2019,302.5,317.450012,302.5,,307.66745,407198
18-07-2019,313,317.450012,307.100006,,306.082794,199099
19-07-2019,309.049988,309.899994,300.5,,299.793793,199497
22-07-2019,302,302,290.200012,,288.849854,199598
23-07-2019,292.049988,296.049988,284,,282.957001,157061
24-07-2019,287,290.950012,268.350006,,269.735168,235420
25-07-2019,274.399994,282.100006,266.75,,275.429962,130442
26-07-2019,278,285.950012,275.799988,,280.877167,167805
29-07-2019,284.600006,286.25,272.5,,278.945862,195915
30-07-2019,281.899994,283.5,274,,272.904419,70897
31-07-2019,272.049988,279.799988,270.200012,,275.132843,101043
01-08-2019,279.700012,284.149994,276.049988,,279.391571,101458
02-08-2019,283,293.5,277,,281.174286,308635
05-08-2019,297,299,274.200012,,274.637634,1606928
06-08-2019,278,283.700012,276.100006,,276.717468,296901
07-08-2019,281.100006,285.100006,275,,273.845337,214913
08-08-2019,278,283.5,276.049988,,279.886749,162714
09-08-2019,284.700012,286,277.399994,,276.32132,184426
13-08-2019,278.5,279.850006,264.100006,,264.040375,213003
14-08-2019,269,271.5,260.75,,265.82309,273311
16-08-2019,267.950012,274,265.100006,,268.546692,123634
19-08-2019,271.200012,278.950012,271.200012,,272.458771,121685
20-08-2019,276,278.299988,273.5,,271.914032,106094
21-08-2019,280.049988,283.850006,267.350006,,266.714447,1113707
22-08-2019,270.600006,271.75,259.299988,,257.652283,179798
23-08-2019,259,275,257.299988,,271.171234,262856
26-08-2019,278.200012,283,274.5,,275.677582,181630
27-08-2019,279,292.450012,278.350006,,283.996918,373943
28-08-2019,287.899994,294,283.5,,282.659882,287692
29-08-2019,284.600006,287.25,278.200012,,277.707886,103699
30-08-2019,280.75,284.700012,275,,272.854919,211345
03-09-2019,273.5,273.850006,268.399994,,269.438049,187118
04-09-2019,272.600006,273.600006,269,,269.04187,172330
05-09-2019,272.899994,275.950012,269.450012,,271.666443,127477
06-09-2019,275.950012,276.75,274.100006,,273.399628,112318
09-09-2019,277.600006,282,274.200012,,275.875641,184806
11-09-2019,280,284.649994,273.299988,,276.0242,481061
12-09-2019,280.649994,283.5,272.600006,,270.428436,392171
13-09-2019,273.200012,278.799988,272.799988,,274.439575,137352
16-09-2019,276.399994,279.399994,270.5,,271.963562,283447
17-09-2019,276.549988,277,268,,266.120239,166893
18-09-2019,271.899994,272,267,,267.259186,109031
